bill_id,model,field,score
bill_01,gemini,vendor,1.0
bill_01,gemini,invoice_number,1.0
bill_01,gemini,date,1.0
bill_01,gemini,amount,0.0
bill_01,gemini,currency,1.0
bill_01,gemini,gst_details,0.2647058823529411
bill_01,openrouter,vendor,1.0
bill_01,openrouter,invoice_number,0.0
bill_01,openrouter,date,1.0
bill_01,openrouter,amount,1.0
bill_01,openrouter,currency,0.0
bill_01,openrouter,gst_details,0.26086956521739135
bill_02,gemini,vendor,1.0
bill_02,gemini,invoice_number,1.0
bill_02,gemini,date,1.0
bill_02,gemini,amount,1.0
bill_02,gemini,currency,1.0
bill_02,gemini,gst_details,1.0
bill_02,openrouter,vendor,1.0
bill_02,openrouter,invoice_number,1.0
bill_02,openrouter,date,1.0
bill_02,openrouter,amount,1.0
bill_02,openrouter,currency,1.0
bill_02,openrouter,gst_details,1.0
bill_03,gemini,vendor,1.0
bill_03,gemini,invoice_number,1.0
bill_03,gemini,date,1.0
bill_03,gemini,amount,1.0
bill_03,gemini,currency,1.0
bill_03,gemini,gst_details,0.6067415730337078
bill_03,openrouter,vendor,1.0
bill_03,openrouter,invoice_number,1.0
bill_03,openrouter,date,1.0
bill_03,openrouter,amount,0.0
bill_03,openrouter,currency,1.0
bill_03,openrouter,gst_details,0.6349206349206349
bill_04,gemini,vendor,1.0
bill_04,gemini,invoice_number,1.0
bill_04,gemini,date,0.0
bill_04,gemini,amount,1.0
bill_04,gemini,currency,1.0
bill_04,gemini,gst_details,1.0
bill_04,openrouter,vendor,1.0
bill_04,openrouter,invoice_number,1.0
bill_04,openrouter,date,0.0
bill_04,openrouter,amount,1.0
bill_04,openrouter,currency,1.0
bill_04,openrouter,gst_details,1.0
bill_05,gemini,vendor,1.0
bill_05,gemini,invoice_number,1.0
bill_05,gemini,date,1.0
bill_05,gemini,amount,1.0
bill_05,gemini,currency,1.0
bill_05,gemini,gst_details,0.5974025974025974
bill_05,openrouter,vendor,1.0
bill_05,openrouter,invoice_number,0.6666666666666667
bill_05,openrouter,date,0.0
bill_05,openrouter,amount,1.0
bill_05,openrouter,currency,0.0
bill_05,openrouter,gst_details,0.4403669724770643
bill_06,gemini,vendor,1.0
bill_06,gemini,invoice_number,1.0
bill_06,gemini,date,1.0
bill_06,gemini,amount,1.0
bill_06,gemini,currency,1.0
bill_06,gemini,gst_details,1.0
bill_06,openrouter,vendor,1.0
bill_06,openrouter,invoice_number,1.0
bill_06,openrouter,date,1.0
bill_06,openrouter,amount,0.0
bill_06,openrouter,currency,1.0
bill_06,openrouter,gst_details,1.0
bill_07,gemini,vendor,1.0
bill_07,gemini,invoice_number,0.5
bill_07,gemini,date,0.0
bill_07,gemini,amount,1.0
bill_07,gemini,currency,1.0
bill_07,gemini,gst_details,1.0
bill_07,openrouter,vendor,1.0
bill_07,openrouter,invoice_number,1.0
bill_07,openrouter,date,0.0
bill_07,openrouter,amount,1.0
bill_07,openrouter,currency,1.0
bill_07,openrouter,gst_details,1.0
bill_08,gemini,vendor,1.0
bill_08,gemini,invoice_number,1.0
bill_08,gemini,date,1.0
bill_08,gemini,amount,1.0
bill_08,gemini,currency,1.0
bill_08,gemini,gst_details,0.2666666666666667
bill_08,openrouter,vendor,1.0
bill_08,openrouter,invoice_number,1.0
bill_08,openrouter,date,1.0
bill_08,openrouter,amount,1.0
bill_08,openrouter,currency,1.0
bill_08,openrouter,gst_details,0.2588235294117647
bill_09,gemini,vendor,1.0
bill_09,gemini,invoice_number,1.0
bill_09,gemini,date,1.0
bill_09,gemini,amount,1.0
bill_09,gemini,currency,1.0
bill_09,gemini,gst_details,0.0
bill_09,openrouter,vendor,1.0
bill_09,openrouter,invoice_number,1.0
bill_09,openrouter,date,1.0
bill_09,openrouter,amount,1.0
bill_09,openrouter,currency,1.0
bill_09,openrouter,gst_details,0.0
bill_10,gemini,vendor,1.0
bill_10,gemini,invoice_number,1.0
bill_10,gemini,date,1.0
bill_10,gemini,amount,1.0
bill_10,gemini,currency,1.0
bill_10,gemini,gst_details,0.0
bill_10,openrouter,vendor,1.0
bill_10,openrouter,invoice_number,1.0
bill_10,openrouter,date,0.0
bill_10,openrouter,amount,1.0
bill_10,openrouter,currency,1.0
bill_10,openrouter,gst_details,0.0
bill_11,gemini,vendor,1.0
bill_11,gemini,invoice_number,1.0
bill_11,gemini,date,0.0
bill_11,gemini,amount,1.0
bill_11,gemini,currency,1.0
bill_11,gemini,gst_details,0.32727272727272727
bill_11,openrouter,vendor,1.0
bill_11,openrouter,invoice_number,0.23529411764705888
bill_11,openrouter,date,0.0
bill_11,openrouter,amount,0.0
bill_11,openrouter,currency,1.0
bill_11,openrouter,gst_details,0.0
bill_12,gemini,vendor,1.0
bill_12,gemini,invoice_number,1.0
bill_12,gemini,date,0.0
bill_12,gemini,amount,1.0
bill_12,gemini,currency,1.0
bill_12,gemini,gst_details,0.38
bill_12,openrouter,vendor,1.0
bill_12,openrouter,invoice_number,1.0
bill_12,openrouter,date,0.0
bill_12,openrouter,amount,1.0
bill_12,openrouter,currency,0.0
bill_12,openrouter,gst_details,0.43956043956043955
